Store Name,Address,Timings,Phone Number,Coordinates
"Nykaa Luxe - Pacific, NSP, New Delhi ","Nykaa Luxe Pacific Mall NSP,  SH/GF/13, Ground Floor at Pacific Mall, Netaji Subhash Place",11:00 AM - 09:30 PM,,"(28.693900000000042, 77.15440000000007)"
"Nykaa On Trend  - Civil Lines, Allahabad  ","Nykaa On Trend, 18/A, Sardar Patel Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",11:00 AM - 09:30 PM,,"(25.463944528360553, 81.83640523004598)"
"Nykaa On Trend  - Kamla Nagar, New Delhi ","Nykaa On Trend, Shop No - 28UA, Ground Floor, Bungalow Road, Kamla Nagar, Delhi, 110007",11:00 AM - 09:00 PM,,"(28.683275542540144, 77.20524587538335)"
"Nykaa Luxe - Rcity Mall, Mumbai ","Nykaa Luxe, G70, Ground Floor, Rcity Mall, Lal Bahadur Shastri Road, Amrut Nagar, Ghatkopar west, Mumbai, Maharashtra  - 400086",11:00 AM - 09:00 PM,,"(19.101390000000038, 72.91149000000007)"
Nykaa On Trend - PMC Pune ,"Nykaa On Trend, UG - 52, Phoenix Market City, Survey No. 207, Viman Nagar Road Pune - 411014",11:00 AM - 09:00 PM,,"(18.567496593475845, 73.91861603754147)"
Nykaa Luxe - Jodhpur Luxe Store ,"Nykaa Luxe B Road Jodhpur, Unit No 1&2, B Road, Sardarpura (Gandhi Maidan), Jodhpur, Rajasthan – 342003",11:00 AM - 09:00 PM,,"(26.279839992653507, 73.0073799719137)"
Nykaa Luxe - Nykaa Luxe Trivandrum ,"Nykaa Luxe, Lulu Mall,  C12 &13, Lulu Mall, Kazhakootam - Kovalam Bypass Road, Kochuveli, Thiruvananthapuram - 695021",11:00 AM - 09:00 PM,,"(8.503834900832445, 76.89879337191147)"
Nykaa On Trend - Nykaa On Trend Rajkot Gujarat ,"Nykaa On Trend, Shop 07, the Imperial Heights, Near DR. Radhe Krishna Road, 150 Feet Ring Road, Opposite Iscon Mall, Rajkot, Gujarat - 360005",11:00 AM - 09:30 PM,,"(22.279228450000062, 70.73660000000007)"
Nykaa On Trend - Nykaa On Trend Nashik Maharashtra ,"Nykaa On Trend, Shop Nos. 3, 4 and 5, Archit Arcade Apartment, College Road, Nashik, Maharashtra- 422005",11:00 AM - 09:30 PM,,"(20.00541823869229, 73.76369506635238)"
Nykaa On Trend - Nykaa On Trend Shimpoli Borivali ,"Nykaa OnTrend, Ground and first floor, Yash Prabha CHSL, Next to Zudio Store, Opp. Satra Park, Shimpoli Road, Borivali(West). Mumbai- 400092",11:00 AM - 10:00 PM,,"(19.227200293138964, 72.84164797528608)"
Nykaa Kiosk - Nykaa Kiosk C21 Mall Indore ,"Nykaa Kiosk, Century 21 Mall, Ground Floor, AB Road, Indore - 452010",11:00 AM - 09:30 PM,,"(22.76243500000004, 75.88580000000007)"
"Nykaa On Trend - Nykaa On Trend Gokulam, Galleria Mall ","Nykaa On Trend, Store no. 014, UGF, Gokulam Galleria, Mavvoor Road, Near Federal Tower, Arayidathupalam, Kozhikode, Kerala 673016",11:00 AM - 09:30 PM,,"(11.260740000000055, 75.81522657100004)"
"Nykaa On Trend - Nykaa On Trend Banjara Hills ,Hyderabad  ","Nykaa On Trend ,Ground Floor ,Block 2 ,Uptown Banjara,H.NO.8-2-268/F,8-2-270/B/1/1 & 8-2-270 ,Road No.3 ,Banjara Hills ,Hyderabad",11:00 AM - 09:30 PM,,"(17.424126731894997, 78.42893307955417)"
Nykaa On Trend - Nykaa On Trend HSR Layout Bangalore ,"Nykaa OnTrend, ground floor, Site 112, 27th Main road, 2nd sector, HSR Layout, Bangalore-560102",11:00 AM - 09:30 PM,,"(12.900822576550679, 77.64859381449378)"
Nykaa On Trend - Nykaa On Trend Chembur Diamond Garden ,"Nykaa ON Trend, HOTEL BAHRI RESIDENCY, PLOT NO.1, SION TROMBAY HIGHWAY, CHEMBUR EAST, MUMBAI",11:00 AM - 09:30 PM,,"(19.051906074887103, 72.90122920316702)"
Nykaa On Trend - Nykaa On Trend PMC Kurla Mumbai ,"Nykaa On Trend, Phoenix Market City Mall, UG 59, L.B.S. Marg, Kurla West, Mumbai, Maharashtra",11:00 AM - 09:30 PM,,"(19.08507000000003, 72.88746000000003)"
Nykaa Luxe - Nykaa Luxe Udaipur Rajasthan ,"Nykaa Luxe Udaipur Rajasthan, G16, Forum Celebrations Mall, NH-8, opp. Devendra Dham, Bhuwana, Udaipur, Rajasthan",11:00 AM - 09:30 PM,,"(24.610878270364122, 73.70051121654814)"
Nykaa Luxe - Nykaa Luxe DB City Mall Bhopal ,"Unit No. G-32, Opp Maharana Pratap Nagar Zone-1, on Khasra 1511 & 1509, ARERA HILLS, Bhopal, Madhya Pradesh",11:00 AM - 09:30 PM,,"(23.237270000000024, 77.42244000000005)"
Nykaa Kiosk - Nykaa Kiosk Fun Republic Lucknow ,"Nykaa Kiosk,Fun Republic Mall ,NH28,Vipin Khand,Gomti Nagar ,Lucknow",10:30 AM - 09:30 PM,,"(26.856742055026753, 80.97379136080153)"
Nykaa Luxe - Nykaa Luxe Vaishali Nagar Jaipur ,"P No 165, Ground Floor, Rathore Nagar, Amarpali Marg, Vaishali Nagar, Jaipur",10:30 AM - 09:30 PM,,"(26.910820000000058, 75.75159000000008)"
"Nykaa On Trend - Nykaa On Trend MG Road, Agra Highstreet ","Nykaa ON Trends, 1/213 Opp Nagar Nigam Swadeshi Beema Nagar, Uttar Pradesh 282001",10:00 AM - 10:00 PM,,"(28.394280000000037, 79.45635000000004)"
Nykaa On Trend - Nykaa OT Pavillion Mall Pune ,"Nykaa On Trend, G-06, Senapati Bapat Rd, next to JW Marriott Hotel, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016",10:30 AM - 09:30 PM,,"(18.526888051315623, 73.82989889654792)"
Nykaa On Trend - Nykaa On Trend Coimbatore ,"Nykaa On Trend, Shop no. LG-21, Plot No.67-71, Dr Krishnasamy Mudaliyar Rd, Brookefields, Sukrawar Pettai, Ram Nagar, Coimbatore, Tamil Nadu 641001",11:00 AM - 09:30 PM,,"(11.008712352173983, 76.95919604850839)"
Nykaa On Trend - Nykaa On Trend Vizag ,"Nykaa OnTrend, Ground Floor situated at 26-15-105, Purnamarket Main Road, Revenue Ward 23, Visakhapatnam- 530007",10:30 AM - 09:30 PM,,"(17.746090000000038, 83.26230969700003)"
Nykaa Luxe - Nykaa Luxe Karol Bagh Delhi ,"Nykaa Luxe Karol Bagh, Delhi, Shop No 2,6/30-31, Ajmal Khan Road, Karol Bagh, New Delhi 110005",11:00 AM - 09:30 PM,,"(28.645448642152104, 77.18867703210037)"
"Nykaa Kiosk - Nykaa Kiosk, V3S Mall, New Delhi ","Nykaa Kiosk, V3S Mall, Vikas Marg, Laxmi Nagar Commercial Complex, Swasthya Vihar, New Delhi, Delhi 110092",10:00 AM - 11:00 PM,,"(28.641088224094585, 77.287569092952)"
"Nykaa On Trend - Nykaa On Trend Paschim Vihar, Delhi ","Nykaa On Trend, A-3/12, Ground Floor, (west Sidepart), Paschim Vihar new delhi- 110063",11:00 AM - 09:00 PM,,"(28.66922018822948, 77.1042442604371)"
"Nykaa Luxe - Nykaa Luxe Nucleus Mall, Ranchi ","Nykaa luxe, Nucleus mall, circular road, MS Plot No-1690, Holding No-587, Lalpur. Ranchi-834001",11:00 AM - 09:30 PM,,"(23.374459815075834, 85.33855346819078)"
Nykaa Luxe - Nykaa Luxe Lulu Mall Lucknow ,"Nykaa Luxe, Ground Floor, Lulu Mall, Shaheed Path, Gomti Nagar, Lucknow, Uttar Pardesh-226010",11:00 AM - 09:30 PM,,"(26.851447966934852, 81.01672817931035)"
Nykaa On Trend - Nykaa On trend City Centre ,"Nykaa On trend, City Center - DC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",11:00 AM - 09:30 PM,,"(22.58752000000004, 88.40845000000007)"
"Nykaa On Trend - Nykaa On Trend Rajouri Garden, Delhi ","Nykaa On Trend, Right side portion of shop no F122, Main market, Rajouri Garden, New delhi, 110027",11:00 AM - 09:30 PM,,"(28.646050772608287, 77.12019483066383)"
"Nykaa On Trend - Nykaa On Trend Shyamal, Ahmedabad ","Nykaa On Trend, Shop No. 04, Ground Floor, Iconic Shyamal, The Samrudhi Co. Op. Hsg. Soc. Ltd., 132 Ring Road, Shyamal Cross Road, Satellite, Ahmedabad, Gujarat – 480015",11:00 AM - 09:30 PM,,"(23.014658045160203, 72.5306092912076)"
Nykaa Luxe - Nykaa Luxe Koregaon Park ,"Nykaa Luxe, Ground Floor, Shop no.2 , Ganga Commerce, N Main Rd, Koregaon Park, Pune, Maharashtra 411001",10:00 AM - 09:30 PM,,"(18.539310000000057, 73.89774000000006)"
Nykaa Luxe - Nykaa Luxe Elante Mall Chandigarh ,"Ground Floor, Shop No.23C, No.178-178A Industrial and Business Park,PHASE I, Chandigarh, 160002",11:00 AM - 09:30 PM,,"(30.703015370323637, 76.79810847732945)"
Nykaa On Trend - Nykaa On Trend Dharampeth Nagpur ,"Nykaa ON Trend, Shop nos. 001A, 002 & 003, Ground floor, shubha commercial complex,plotno 210, CTSno 297, sheet no.29, mouza: Ambazari, ward no 70, N.M.C, House no.201, West high court road, Dharampeth , Nagpur, Maharashta - 440010",10:00 AM - 10:00 PM,,
Nykaa Luxe - Nykaa Luxe City Centre Patna ,"Nykaa Luxe, Unit No CCPTC0003, Upper Ground Floor, City Centre Mall Patna, Christian Colony, Chajju Bagh, Patna, Bihar 800001",10:00 AM - 09:30 PM,,"(25.604955000000075, 85.12870220400004)"
"Nykaa On Trend - Nykaa On Trend Rajpura, Dehradun HS ","Nykaa On Trend, Shop Number -15 A, Rajpur Road, Dehradun City, Dehradun - 248001, Next to Barista Cafe Shop",10:00 AM - 10:00 PM,,"(30.374327735218365, 78.08602875009461)"
Nykaa On Trend - Nykaa On Trend Acropolis Mall Siliguri ,"Nykaa On Trend, Shop no. 1, Ground floor, M.L. Acropolis mall, Sevoke Road, Siliguri- 734001",10:00 AM - 10:00 PM,,"(26.718815554427913, 88.42554989914161)"
Nykaa Kiosk - Nykaa Kiosk City Center Mangalore ,"Nykaa kiosk, UK-K6A, upper ground floor, city centre mall, Mangalore, KSR Road, Hampankatta, mangaluru, Karnatka, 575001",10:00 AM - 10:00 PM,,"(12.871428981561692, 74.84343255265647)"
Nykaa On Trend - Nykaa On Trend Guwahati LGB Airport ,"Nykaa On Trend,Unit No. 23, Departure SHA GF,Lokpriya Gopinath Bordoloi International Airport,Guwahati, 781015",04:00 AM - 11:30 PM,,"(26.105060000000037, 91.58857000000006)"
Nykaa On Trend - Nykaa On Trend Riverside Mall Howrah ,"Nykaa On Trend, Shop no-08, Ground Floor, Avani Riverside Mall, 32, Jagat Banerjee Ghat Road, Choura Bustee, Shibpur, Howrah, West Bengal 711102",10:00 AM - 08:00 PM,,"(22.56266303479795, 88.32279613629112)"
Nykaa On Trend - Nykaa On Trend Faridabad ,"Nykaa On Trend, Sector 15, Adjoining PNB Bank, Faridabad -121007",10:00 AM - 10:00 PM,,"(28.395202257360513, 77.32318211547911)"
Nykaa Luxe - Nykaa Luxe City Center Siliguri ,"Nykaa Luxe, Unit No.- CCSGF0020, City Center Siliguri-City Centre Mall, Ambuja Realty Development Limited., Matigara, Siliguri, West Bengal 734010",10:00 AM - 09:30 PM,,"(26.73080455772574, 88.40072576992452)"
Nykaa Luxe - Nykaa Luxe Dwarka Vegas ,"Nykaa Luxe Dwarka Vegas, Ground Floor, Plot No. 6, North, Pocket 1, Vegas Mall, Dwarka Sector 14, New Delhi 110075",10:00 AM - 10:00 PM,,"(28.58660132890612, 77.0577767680393)"
Nykaa On Trend - Nykaa On Trend Capital Mall Vasai ,"Nykaa On Trend, The Capital mall, Survey Nos. 52(part) and 53(part),New Link Road, Nallasopara,East, Village Achole, Vasai-Virar City Municipal Corporation, Palghar - 401209",11:00 AM - 09:30 PM,,"(19.409837590084877, 72.83021890103441)"
Nykaa On Trend - Nykaa On Trend Guwahati HS ,"Nykaa On Trend, 5, Tikams Plaza, T.C, Bhajanka Estates, Christian Basti, G.S Road, Guwahati, 781005",10:00 AM - 09:30 PM,,"(26.153774540515112, 91.77780922218301)"
Nykaa On Trend - Nykaa On Trend Phoenix Marketcity Mall Bangalore ,"Nykaa On Trend, PMC Bangalore, Unit No. UG-39, Mahadevpura,Nr. Krishnarajapuram Flyover,Bengaluru - 560048",10:00 AM - 09:30 PM,,"(12.993316549339013, 77.6860224537952)"
Nykaa On Trend - Nykaa On Trend Nungambakkam Chennai ,"Nykaa On Trend, Apex plaza, bearing door no 3, nungambakkam high road, chennai - 600034",10:00 AM - 09:30 PM,,"(13.059288014580876, 80.24941020936382)"
Nykaa On Trend - Nykaa On Trend Gandhinagar Jammu ,"Nykaa On Trend, Plot no 488 A, Ground Floor and first floor, Gandhi nagar Jammu, Jammu and kashmir, 180004",10:00 AM - 09:30 PM,,"(32.704026569877634, 74.86161601502513)"
Nykaa On Trend - Nykaa On Trend Vajra world Gangtok ,"Nykaa OnTrend, Unit No. VW-GF08, Ground floor, Vajra world, KHATYAN,NO-104,BLOCK BURTUK BALUWAKHANI, Gangtok, Sikkim 737101",09:30 AM - 09:30 PM,,"(27.33979568500007, 88.61741500000005)"
Nykaa On Trend - Nykaa On Trend AS Rao Nagar ,"Nykaa On Trend, Ground Floor, Prasanna Heights, Brundavan Colony, Opp Dr. A.S. Rao Nagar,Hyderabad, Telangana",10:00 AM - 09:30 PM,,"(17.40375998162332, 78.41133200177407)"
Nykaa Kiosk - Nykaa Kiosk Lulu Mall Kochi ,"Nykaa Kiosk, KG 05, Ground Floor, Door no34/959, LULU International Shopping Mall, Edapalli , Kochi",10:00 AM - 10:00 PM,,"(9.936010000000067, 76.26141000000007)"
Nykaa On Trend - Nykaa On Trend Bhupinder Road Patiala ,"Nykaa On Trend, NH 7 Factory Outlet, Shop No 131 A & B Barnala Highway Road - NH 07, Opposite Walmart, Bhucho Khurd Post office - Bhucho Mandi",10:00 AM - 09:30 PM,,"(30.337430010706854, 75.55549355929847)"
Nykaa On Trend - Nykaa On Trend RMZ Galleria ,"Nykaa On Trend, RMZ Galleria, Unit No UG 37 - Bangalore Bellary Road, Yelahanka Post, Yelahanka",10:00 AM - 09:30 PM,,"(13.101410887397549, 77.60002908763546)"
Nykaa Luxe - Nykaa Luxe Phoenix Mall Indore ,"Nykaa Luxe Pheonix Mall Indore, GF, Pheonix Citadel Mall, Indore Bypass Road, Near Mridang, Madhya Pradesh, 452016",10:00 AM - 10:00 PM,,"(22.709910000000036, 76.00558601100005)"
Nykaa On Trend - Nykaa Kiosk City Center Siliguri ,"Nykaa Kiosk 75, Ground floor, Next to UCB store, city center, Uttaroyon, Matigara, Siliguri",10:00 AM - 09:30 PM,,"(26.73246000000006, 88.40883000000008)"
Nykaa On Trend - Nykaa On Trend Rajahmundry ,"""Nykaa ON Trend, D.NO.79-08-21, BESIDE DIVYA HOSPITAL,OLD SOMALAMMA TEMPLE ROAD,POSTAL COLONY,REVENUE WARD N0-30,RAJAHMUNDRY, ANDHRA PRADESH",10:00 AM - 09:30 PM,,"(17.002824279572277, 81.79128315756205)"
Nykaa Kiosk - Nykaa Kiosk Lulu Mall Kochi ,"Nykaa Kiosk, Ground floor, K-07, Lulu International Shopping Mall Pvt. Ltd TC 91/270, Akkulam Bridge, Anayara Post, Thiruvananthapuram, Kerala 695029",10:00 AM - 10:00 PM,,"(8.507221277192151, 76.91182130442161)"
Nykaa Kiosk - Nykaa Kiosk Garuda Mall Bangalore ,"Nykaa Kiosk,Garuda Mall, XJC5+4X4, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025",10:00 AM - 10:00 PM,,"(12.969712690901767, 77.61297341324996)"
Nykaa Kiosk - Nykaa Kiosk Viviana Mall ,"Nykaa Kiosk, KF 02, 1st Floor of the Mall , Viviana Mall On Eastern Express Highway, service road, Thane West",10:00 AM - 10:00 PM,,"(19.20918113944658, 72.97320009037927)"
Nykaa Kiosk - Nykaa Kiosk Sujana Mall Hyderabad ,"Nexus Sujana Mall ,Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085",09:30 AM - 10:00 AM,,"(17.474373129058108, 78.38815898843961)"
Nykaa Luxe - Nykaa Luxe Pacific Mall Jasola ,"Nykaa Luxe, Ground Floor, Pacific Mall, Jasola, Apollo Metro Station , Sarita Vihar, Mathura Road , New Delhi ? 110044",09:30 AM - 10:00 AM,,"(28.528360000000077, 77.28850000000006)"
Nykaa Kiosk - Nykaa Kiosk Star Mall Kolkata ,"Nykaa Kiosk, 4/Mall/A, Jessore Road Madhyamgram, Sisir Kunja, Barasat, West Bengal 700129",10:00 AM - 10:00 PM,,"(22.696922348205433, 88.46811352691992)"
"Nykaa Kiosk - Nykaa Kiosk Elante Mall, Chandigarh ","Nykaa Kiosk, Ground Floor, Plot No.178-178A, Industrial and Business Park,PHASE I,Chandigarh, 160002",10:00 AM - 10:00 PM,,"(30.703015370323637, 76.79810847732945)"
Nykaa Luxe - Nykaa Luxe T2 Mumbai Airport ,"Nykaa Luxe, Unit 3045, Level 3 Terminal 2 Domestic SHA, Mumbai International Airport, Sahar Road, Andheri East",12:00 PM - 11:00 PM,,"(19.10396000000003, 72.86694000000006)"
Nykaa Kiosk - Nykaa Kiosk Pavillion Mall ,"Nykaa Kiosk, B-I, 1258, Kailash Cinema Rd,Civil Lines, Ludhiana, Punjab",10:00 AM - 09:00 PM,,"(30.918097464005545, 75.84149314670083)"
Nykaa On Trend - Nykaa On Trend Sonipat ,"Building/Plot/Shop No. 213 L, Model Town (Next to Levis), Ground Floor & First Floor, Altas Road, Sonipat, Haryana,131001",10:00 AM - 09:30 PM,,"(28.983937627192724, 77.02355832143326)"
Nykaa Kiosk - Nykaa Kiosk Infiniti Malad ,"Nykaa Kiosk, Infiniti Mall Malad, Malad, Mindspace, Malad West, Mumbai, Maharashtra",10:00 AM - 09:00 PM,,"(19.18426000000005, 72.83101000000005)"
Nykaa On Trend - Nykaa On Trend Karnal HS ,"Nykaa On Trend, Shop no 18/336/443 near Miglani Hospital, Kunjpura Road Karnal, Haryana",10:00 AM - 08:30 PM,,"(28.467750000000024, 77.08212000000003)"
"Nykaa On Trend - Nykaa On Trend Himayath Nagar, Hyderabad ","Nykaa On Trend, Ground Floor of Building consisting of G-3 Floors, House No. 3-6-522/B,T.S. No. 11/2, Block -F, Himayat Nagar, Hyderabad, Telangana,500029",09:30 AM - 10:00 AM,,"(17.402483102675536, 78.4781078502143)"
Nykaa On Trend - Nykaa On Trend Bathinda HS ,"NH7 Factory Outlet, Shop No 131A & AMP; B Barnala Highway Road - NH -07, Opposite Walmart, Mc Donalds & AMP; KFC Village- Bhucho Khurd Post Office- Bhucho Mandi Pin Code-151101 Bathinda Punjab",10:00 AM - 09:00 AM,,"(30.197520000000054, 75.08500936300004)"
Nykaa Luxe - Nykaa Luxe Palladium Mall Ahmedabad  ,"Nykaa Luxe, F-02, First Floor, Palladium Mall, SG Highway, Final Plot No 1 of Thaltej, Revenue Village, Ahmedabad",11:00 AM - 10:00 PM,,"(23.05015000000003, 72.51109000000008)"
